Nombre,Clases sugeridas,Desbonificacion por clase,Daño,Presicion,Peso,Tipo 1,Tipo 2,Tipo 3,Tipo 4,Agarre,Alma,Maná,Inteligencia,resitencia magica,Armadura,Precio,Efecto,Descripcion,grado
lanza de acero ,aprendiz de lanza ,-8 daño,12,3,3,arma ,cuerpo a cuerpo ,lanza,,1 mano,,,,,,45,,,2
lanza de hierro ,aprendiz de lanza,-5 daño,9,2,2,arma,cuerpo a cuerpo ,lanza,,1 mano,,,,,,25,,,1
Túnica de pony salvaje ,,,,,2,armadura,túnica ,,,,,,,18,8,100,la primera vez que recibas un mismo hechizo de un mismo oponente durante la partida obtienes +70 de resistencia mágica hasta el final de ese turno.,,4
armadura de cuero ,,,,,3,armadura ,coraza,,,,,,,3,6,20,,,1
armadura de bronce ,,,,,5,armadura ,coraza,,,,,,,4,8,40,,,2
túnica de seda,,,,,1,armadura ,túnica ,,,,,,,14,4,60,,,3
túnica de manta,,,,,1,armadura ,túnica ,,,,,,,3,2,10,,,1
túnica de lino,,,,,1,armadura ,túnica ,,,,,,,9,4,30,,,2
armadura de mitrilo,,,,,6,armadura ,coraza,,,,,,,12,15,90,puedes reeolear una vez por turno el dado de remosión de estados,,4
armadura de hierro ,,,,,6,armadura ,coraza,,,,,,,2,12,50,,,3
armadura de escamas de dragones,,,,,6,armadura ,coraza ,,,,,,,22,16,130,cada que recibas cualquier cantidad de daño mágico restauras 10 de maná ,,4
cota de malla ,,,,,2,armadura ,túnica ,,,,,,,3,5,40,,,2
Ridec,aprendiz de navajas ,"sin habilidades, daño -3",5,3,2,arma,cuerpo a cuerpo ,navaja ,,1 mano ,,,,,,55,los críticos generan un contador de hemorragia ,,2
colmillos,aprendiz de navajas ,"sin habilidades, daño -5",10,2,4,arma ,cuerpo a cuerpo ,navaja ,,2 manos ,,,,,,40,puedes dar un segundo golpe el mismo turno por sólo 10PA,,2
Garras de gato ,aprendiz de navajas ,presicion -4,20,2,2,arma ,cuerpo a cuerpo ,navaja ,,2 manos ,,,,,,90,10 penetración de armadura ,,4
cota de maya de phirix,,,,,3,armadura ,túnica ,,,,,,,12,14,100,otorga inmunidad a la hemorragia ,,4
lágrima de vida,,,,3,4,arma,bastón ,,,2 manos ,15,30,10,,,95,,,3
Xyston,aprendiz de lanzas,"sin habilidades, -10 daño",23,4,4,arma,cuerpo a cuerpo ,lanza,,1 mano ,,,,,,120,los golpes críticos tienen 15 de penetración de armadura ,,4
botas cómodas ,,,,,1,armadura ,botas,,,,,,,,,30,"PA +5, velocidad +2",,2
Invocadora,,,,,5,arma,bastón ,,,2 manos,9,80,6,,,100,"Toda invocación obtiene +30 vida, +10 daño, +1 presicion, +1 evasión, +8 armadura, +8 resistencia mágica ",,4
Guitarra dañada,músico ,-2 inteligencia ,,1,4,arma,instrumento,,,2 manos,,,,,,1,al ejecutar melodías +2 de inteligencia ,,0
Flauta hipnótica ,música ,-15 inteligencia ,,3,1,arma,instrumento ,,,1 mano,,,10,,,90,"hipnotizar: (5PA, sólo se puede usar una vez por turno) congela a la unidad afectada",,3
Torsal de manzágora ,,,,1,3,arma,Bara ,,,1 mano,10,50,,,,40,,,2
